productid;productname;subcategory;category
FUR-BO-10000112;Bush Birmingham Collection Bookcase, Dark Cherry;Bookcases                                         ;Furniture
FUR-BO-10000330;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;Bookcases                                         ;Furniture
FUR-BO-10000362;Sauder Inglewood Library Bookcases;Bookcases                                         ;Furniture
FUR-BO-10000468;O'Sullivan 2-Shelf Heavy-Duty Bookcases;Bookcases                                         ;Furniture
FUR-BO-10000711;Hon Metal Bookcases, Gray;Bookcases                                         ;Furniture
FUR-BO-10000780;O'Sullivan Plantations 2-Door Library in Landvery Oak;Bookcases                                         ;Furniture
FUR-BO-10001337;O'Sullivan Living Dimensions 2-Shelf Bookcases;Bookcases                                         ;Furniture
FUR-BO-10001519;O'Sullivan 3-Shelf Heavy-Duty Bookcases;Bookcases                                         ;Furniture
FUR-BO-10001567;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;Bookcases                                         ;Furniture
FUR-BO-10001601;Sauder Mission Library with Doors, Fruitwood Finish;Bookcases                                         ;Furniture
FUR-BO-10001608;Hon Metal Bookcases, Black;Bookcases                                         ;Furniture
FUR-BO-10001619;O'Sullivan Cherrywood Estates Traditional Bookcase;Bookcases                                         ;Furniture
FUR-BO-10001798;Bush Somerset Collection Bookcase;Bookcases                                         ;Furniture
FUR-BO-10001811;Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors;Bookcases                                         ;Furniture
FUR-BO-10001918;Sauder Forest Hills Library with Doors, Woodland Oak Finish;Bookcases                                         ;Furniture
FUR-BO-10001972;O'Sullivan 4-Shelf Bookcase in Odessa Pine;Bookcases                                         ;Furniture
FUR-BO-10002202;Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors;Bookcases                                         ;Furniture
FUR-BO-10002206;Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order;Bookcases                                         ;Furniture
FUR-BO-10002213;DMI Eclipse Executive Suite Bookcases;Bookcases                                         ;Furniture
FUR-BO-10002268;DMI Eclipse Executive Suite Bookcases;Bookcases                                         ;Furniture
FUR-BO-10002545;Sauder Barrister Bookcases;Bookcases                                         ;Furniture
FUR-BO-10002598;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Bookcases                                         ;Furniture
FUR-BO-10002613;Hon Metal Bookcases, Putty;Bookcases                                         ;Furniture
FUR-BO-10002824;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;Bookcases                                         ;Furniture
FUR-BO-10002853;Bush Mission Pointe Library;Bookcases                                         ;Furniture
FUR-BO-10002916;O'Sullivan 5-Shelf Heavy-Duty Bookcases;Bookcases                                         ;Furniture
FUR-BO-10003034;"""Rush Hierlooms Collection 1"""" Thick Stackable Bookcases""";Bookcases                                         ;Furniture
FUR-BO-10003159;O'Sullivan Elevations Bookcase, Cherry Finish;Bookcases                                         ;Furniture
FUR-BO-10003272;Sauder Camden County Collection Libraries, Planked Cherry Finish;Bookcases                                         ;Furniture
FUR-BO-10003404;O'Sullivan Living Dimensions 5-Shelf Bookcases;Bookcases                                         ;Furniture
FUR-BO-10003433;Global Adaptabilites Bookcase, Cherry/Storm Gray Finish;Bookcases                                         ;Furniture
FUR-BO-10003441;Sauder Cornerstone Collection Library;Bookcases                                         ;Furniture
FUR-BO-10003450;Bush Westfield Collection Bookcases, Fully Assembled;Bookcases                                         ;Furniture
FUR-BO-10003546;Bush Westfield Collection Bookcases, Dark Cherry Finish;Bookcases                                         ;Furniture
FUR-BO-10003660;Hon 4-Shelf Metal Bookcases;Bookcases                                         ;Furniture
FUR-BO-10003893;Bush Cubix Collection Bookcases, Fully Assembled;Bookcases                                         ;Furniture
FUR-BO-10003894;Sauder Camden County Collection Library;Bookcases                                         ;Furniture
FUR-BO-10003965;Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black;Bookcases                                         ;Furniture
FUR-BO-10003966;O'Sullivan Manor Hill 2-Door Library in Brianna Oak;Bookcases                                         ;Furniture
FUR-BO-10004015;Sauder Facets Collection Library, Sky Alder Finish;Bookcases                                         ;Furniture
FUR-BO-10004218;Bush Andora Bookcase, Maple/Graphite Gray Finish;Bookcases                                         ;Furniture
FUR-BO-10004357;Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order;Bookcases                                         ;Furniture
FUR-BO-10004360;O'Sullivan Living Dimensions 3-Shelf Bookcases;Bookcases                                         ;Furniture
FUR-BO-10004409;Rush Hierlooms Collection Rich Wood Bookcases;Bookcases                                         ;Furniture
FUR-BO-10004467;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;Bookcases                                         ;Furniture
FUR-BO-10004690;Bestar Classic Bookcase;Bookcases                                         ;Furniture
