Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Postal Code;Product ID;Sales;Quantity;Discount;Profit;Store
5328;CA-2011-130813;06.01.2013;08.01.2013;Second Class;LS-17230;90049;OFF-PA-10002005;19,44;3;0;9,3312;West_Superstore
4938;CA-2011-157147;13.01.2013;18.01.2013;Standard Class;BD-11605;94109;OFF-ST-10000078;1325,85;5;0;238,653;West_Superstore
4939;CA-2011-157147;13.01.2013;18.01.2013;Standard Class;BD-11605;94109;FUR-BO-10003034;333,999;3;0,15;3,9294;West_Superstore
4940;CA-2011-157147;13.01.2013;18.01.2013;Standard Class;BD-11605;94109;OFF-AR-10003514;19,9;5;0;6,567;West_Superstore
5365;CA-2011-123477;18.01.2013;21.01.2013;Second Class;DW-13195;97477;OFF-AP-10000692;64,864;4;0,2;6,4864;West_Superstore
5463;CA-2011-146591;19.01.2013;20.01.2013;First Class;TS-21340;85254;OFF-BI-10003676;32,34;10;0,7;-23,716;West_Superstore
5464;CA-2011-146591;19.01.2013;20.01.2013;First Class;TS-21340;85254;OFF-PA-10000659;56,064;4;0,2;19,6224;West_Superstore
5465;CA-2011-146591;19.01.2013;20.01.2013;First Class;TS-21340;85254;OFF-EN-10002504;108,72;5;0,2;36,693;West_Superstore
5466;CA-2011-146591;19.01.2013;20.01.2013;First Class;TS-21340;85254;FUR-BO-10001972;181,47;5;0,7;-320,597;West_Superstore
5737;CA-2011-148614;20.01.2013;25.01.2013;Standard Class;MV-17485;90049;OFF-PA-10002893;19,36;2;0;9,2928;West_Superstore
5738;CA-2011-148614;20.01.2013;25.01.2013;Standard Class;MV-17485;90049;FUR-FU-10003194;19,3;2;0;5,79;West_Superstore
9156;CA-2011-102645;23.01.2013;28.01.2013;Standard Class;IM-15055;89115;OFF-PA-10001804;40,08;6;0;19,2384;West_Superstore
3795;US-2011-117163;27.01.2013;02.02.2013;Standard Class;EJ-13720;92037;OFF-ST-10003692;57,23;1;0;14,3075;West_Superstore
3796;US-2011-117163;27.01.2013;02.02.2013;Standard Class;EJ-13720;92037;FUR-TA-10003469;333;3;0,2;-16,65;West_Superstore
3797;US-2011-117163;27.01.2013;02.02.2013;Standard Class;EJ-13720;92037;OFF-AR-10003179;36,44;4;0;12,0252;West_Superstore
3366;CA-2011-115161;31.01.2013;02.02.2013;First Class;LC-17050;92691;FUR-BO-10003966;290,666;2;0,15;3,4196;West_Superstore
1704;CA-2011-139857;02.02.2013;06.02.2013;Standard Class;CD-12790;92037;OFF-FA-10001843;12,35;5;0;5,8045;West_Superstore
1518;CA-2011-111059;03.02.2013;06.02.2013;Second Class;TB-21400;98105;OFF-BI-10004593;83,84;2;0,2;27,248;West_Superstore
1519;CA-2011-111059;03.02.2013;06.02.2013;Second Class;TB-21400;98105;OFF-BI-10002827;13,272;3;0,2;4,3134;West_Superstore
1544;CA-2011-107181;04.02.2013;08.02.2013;Standard Class;DB-13270;92024;OFF-BI-10004230;82,896;3;0,2;29,0136;West_Superstore
1545;CA-2011-107181;04.02.2013;08.02.2013;Standard Class;DB-13270;92024;OFF-PA-10000350;34,24;4;0;16,0928;West_Superstore
8585;CA-2011-104808;04.02.2013;08.02.2013;Second Class;MH-17440;92025;OFF-BI-10003676;17,248;2;0,2;6,0368;West_Superstore
